time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,8,4,31,7
2026-04-09 00:00:00+00:00,3,3,4,4
2026-04-10 00:00:00+00:00,39,14,24,5
2026-04-11 00:00:00+00:00,23,14,1,1
2026-04-12 00:00:00+00:00,37,13,3,3
2026-04-13 00:00:00+00:00,40,15,21,2
2026-04-14 00:00:00+00:00,19,8,8,4
2026-04-15 00:00:00+00:00,42,12,13,6
2026-04-16 00:00:00+00:00,35,12,15,10
2026-04-17 00:00:00+00:00,34,11,5,2
2026-04-18 00:00:00+00:00,13,6,3,3
2026-04-19 00:00:00+00:00,42,17,3,3
2026-04-20 00:00:00+00:00,66,32,5,4
2026-04-21 00:00:00+00:00,58,25,10,4
