time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,32,13,8,5
2026-03-03 00:00:00+00:00,12,6,19,11
2026-03-04 00:00:00+00:00,18,7,43,16
2026-03-05 00:00:00+00:00,26,12,43,9
2026-03-06 00:00:00+00:00,13,7,44,7
2026-03-07 00:00:00+00:00,8,6,21,4
2026-03-08 00:00:00+00:00,11,5,4,1
2026-03-09 00:00:00+00:00,10,4,79,6
2026-03-10 00:00:00+00:00,7,5,32,4
2026-03-11 00:00:00+00:00,15,5,14,4
2026-03-12 00:00:00+00:00,13,7,12,3
2026-03-13 00:00:00+00:00,10,4,9,2
2026-03-14 00:00:00+00:00,15,9,15,1
2026-03-15 00:00:00+00:00,13,7,0,0
