time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,46,15,35,4
2026-04-30 00:00:00+00:00,47,13,37,4
2026-05-01 00:00:00+00:00,24,8,4,3
2026-05-02 00:00:00+00:00,36,12,0,0
2026-05-03 00:00:00+00:00,27,12,3,3
2026-05-04 00:00:00+00:00,16,5,1,1
2026-05-05 00:00:00+00:00,33,12,2,2
2026-05-06 00:00:00+00:00,20,9,0,0
2026-05-07 00:00:00+00:00,19,8,7,3
2026-05-08 00:00:00+00:00,19,8,36,3
2026-05-09 00:00:00+00:00,26,13,69,4
2026-05-10 00:00:00+00:00,29,10,14,4
2026-05-11 00:00:00+00:00,14,9,1,1
2026-05-12 00:00:00+00:00,13,8,3,3
