time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,8,5,28,10
2026-09-01 00:00:00+00:00,7,6,28,3
2026-09-02 00:00:00+00:00,9,7,13,5
2026-09-03 00:00:00+00:00,5,5,4,4
2026-09-04 00:00:00+00:00,9,6,0,0
2026-09-05 00:00:00+00:00,6,5,17,3
2026-09-06 00:00:00+00:00,4,3,7,5
2026-09-07 00:00:00+00:00,31,24,3,2
2026-09-08 00:00:00+00:00,13,11,15,6
2026-09-09 00:00:00+00:00,14,12,1,1
2026-09-10 00:00:00+00:00,11,9,4,3
2026-09-11 00:00:00+00:00,6,5,3,3
2026-09-12 00:00:00+00:00,7,7,1,1
2026-09-13 00:00:00+00:00,9,8,4,4
