time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-11 00:00:00+00:00,,,7.0,3.0
2025-10-12 00:00:00+00:00,2.0,2.0,5.0,3.0
2025-10-13 00:00:00+00:00,10.0,10.0,,
2025-10-14 00:00:00+00:00,3.0,3.0,9.0,4.0
2025-10-15 00:00:00+00:00,9.0,4.0,15.0,4.0
2025-10-16 00:00:00+00:00,18.0,13.0,16.0,1.0
2025-10-17 00:00:00+00:00,3.0,3.0,2.0,2.0
2025-10-18 00:00:00+00:00,9.0,7.0,,
2025-10-19 00:00:00+00:00,8.0,3.0,,
2025-10-20 00:00:00+00:00,10.0,10.0,4.0,3.0
2025-10-21 00:00:00+00:00,6.0,6.0,4.0,3.0
2025-10-22 00:00:00+00:00,10.0,5.0,13.0,3.0
2025-10-23 00:00:00+00:00,20.0,13.0,14.0,3.0
2025-10-24 00:00:00+00:00,14.0,9.0,80.0,4.0
