time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-10 00:00:00+00:00,2,2,7.0,3.0
2025-12-11 00:00:00+00:00,12,8,28.0,4.0
2025-12-12 00:00:00+00:00,12,8,3.0,2.0
2025-12-13 00:00:00+00:00,9,5,1.0,1.0
2025-12-14 00:00:00+00:00,9,5,1.0,1.0
2025-12-15 00:00:00+00:00,16,11,34.0,5.0
2025-12-16 00:00:00+00:00,11,9,12.0,2.0
2025-12-17 00:00:00+00:00,15,10,9.0,1.0
2025-12-18 00:00:00+00:00,13,9,,
2025-12-19 00:00:00+00:00,9,9,18.0,3.0
2025-12-20 00:00:00+00:00,12,4,1.0,1.0
2025-12-21 00:00:00+00:00,6,5,7.0,4.0
2025-12-22 00:00:00+00:00,12,7,4.0,2.0
2025-12-23 00:00:00+00:00,9,5,40.0,2.0
